news_headline,news_article,news_category,full_text,clean_text
Cambridge Univ scientists study cancer by making 3D VR maps,"Cambridge University researchers have developed a new way to visualise cancer tumours by creating virtual reality 3D models of the same. The molecular make-up and DNA characteristics of the cancer cells were examined to build the models. ""No-one has examined the geography of a tumour in this level of detail before,"" lead researcher of the project Professor Greg Hannon said. ",science,"Cambridge Univ scientists study cancer by making 3D VR maps. Cambridge University researchers have developed a new way to visualise cancer tumours by creating virtual reality 3D models of the same. The molecular make-up and DNA characteristics of the cancer cells were examined to build the models. ""No-one has examined the geography of a tumour in this level of detail before,"" lead researcher of the project Professor Greg Hannon said. ",cambridge univ scientists study cancer making vr maps cambridge university researchers developed new way visualise cancer tumours creating virtual reality models molecular makeup dna characteristics cancer cells examined build models noone examined geography tumour level detail lead researcher project professor greg hannon said
30% leprosy cases wrongly diagnosed in Bihar in 2016: Study,"A study conducted by an international group of researchers has revealed wrong diagnosis of the disease leprosy is prevalent in Bihar, adding that about 30% of cases diagnosed in 2016 were false positives. India has the world's highest burden of leprosy with around 60% reported cases per year. Further, 15-20% of India's new leprosy cases were reported in Bihar.",science,"30% leprosy cases wrongly diagnosed in Bihar in 2016: Study. A study conducted by an international group of researchers has revealed wrong diagnosis of the disease leprosy is prevalent in Bihar, adding that about 30% of cases diagnosed in 2016 were false positives. India has the world's highest burden of leprosy with around 60% reported cases per year. Further, 15-20% of India's new leprosy cases were reported in Bihar.",leprosy cases wrongly diagnosed bihar study study conducted international group researchers revealed wrong diagnosis disease leprosy prevalent bihar adding cases diagnosed false positives india worlds highest burden leprosy around reported cases per year indias new leprosy cases reported bihar
"Hole in space station drilled from inside, Russia confirms","Russian cosmonaut Sergey Prokopyev, who examined the hole drilled in the International Space Station's Russian module has said, the opening was drilled from inside the spacecraft. Russian law enforcement agencies are yet to determine the cause of the hole, first discovered in August. Russian cosmonauts had conducted a nearly eight-hour-long spacewalk to examine the hole earlier this month.",science,"Hole in space station drilled from inside, Russia confirms. Russian cosmonaut Sergey Prokopyev, who examined the hole drilled in the International Space Station's Russian module has said, the opening was drilled from inside the spacecraft. Russian law enforcement agencies are yet to determine the cause of the hole, first discovered in August. Russian cosmonauts had conducted a nearly eight-hour-long spacewalk to examine the hole earlier this month.",hole space station drilled inside russia confirms russian cosmonaut sergey prokopyev examined hole drilled international space stations russian module said opening drilled inside spacecraft russian law enforcement agencies yet determine cause hole first discovered august russian cosmonauts conducted nearly eighthourlong spacewalk examine hole earlier month
NASA spacecraft enters closest orbit of smallest ever object,"NASA spacecraft OSIRIS-REx broke a space exploration record after it entered into closest-ever orbit of smallest-ever object, asteroid Bennu. OSIRIS-REx entered into the 492-metre-wide asteroid's orbit on Monday, 110 million kilometres away from Earth, and will circle around it about 1.75 kilometres from its centre. Earlier, European spacecraft Rosetta orbited 7 kilometres from comet 67P's centre.",science,"NASA spacecraft enters closest orbit of smallest ever object. NASA spacecraft OSIRIS-REx broke a space exploration record after it entered into closest-ever orbit of smallest-ever object, asteroid Bennu. OSIRIS-REx entered into the 492-metre-wide asteroid's orbit on Monday, 110 million kilometres away from Earth, and will circle around it about 1.75 kilometres from its centre. Earlier, European spacecraft Rosetta orbited 7 kilometres from comet 67P's centre.",nasa spacecraft enters closest orbit smallest ever object nasa spacecraft osirisrex broke space exploration record entered closestever orbit smallestever object asteroid bennu osirisrex entered metrewide asteroids orbit monday million kilometres away earth circle around kilometres centre earlier european spacecraft rosetta orbited kilometres comet ps centre
NASA's New Horizons probe being navigated by Mumbai-born scientist,"Mumbai-born Shyamkumar Bhaskaran is playing a key role in steering NASA's New Horizons space probe, which recently conducted a flyby of the most distant cosmic object ever explored, Ultima Thule. Bhaskaran is the Outer Planet Navigation Group's Supervisor at NASA's Jet Propulsion Laboratory. ""We've never done such an encounter of an object which was unknown, small and dark,"" Bhaskaran said.",science,"NASA's New Horizons probe being navigated by Mumbai-born scientist. Mumbai-born Shyamkumar Bhaskaran is playing a key role in steering NASA's New Horizons space probe, which recently conducted a flyby of the most distant cosmic object ever explored, Ultima Thule. Bhaskaran is the Outer Planet Navigation Group's Supervisor at NASA's Jet Propulsion Laboratory. ""We've never done such an encounter of an object which was unknown, small and dark,"" Bhaskaran said.",nasas new horizons probe navigated mumbaiborn scientist mumbaiborn shyamkumar bhaskaran playing key role steering nasas new horizons space probe recently conducted flyby distant cosmic object ever explored ultima thule bhaskaran outer planet navigation groups supervisor nasas jet propulsion laboratory never done encounter object unknown small dark bhaskaran said
Earth to be closest to the Sun for 2019 on January 3,"The Earth will be closest to the Sun at a point in its orbit called perihelion for the year 2019 on January 3, 10:50 am IST. However, the Northern Hemisphere witnesses winter as it is tilted away from the Sun. During perihelion, the Earth lies around 147 million kilometres away from the Sun.",science,"Earth to be closest to the Sun for 2019 on January 3. The Earth will be closest to the Sun at a point in its orbit called perihelion for the year 2019 on January 3, 10:50 am IST. However, the Northern Hemisphere witnesses winter as it is tilted away from the Sun. During perihelion, the Earth lies around 147 million kilometres away from the Sun.",earth closest sun january earth closest sun point orbit called perihelion year january ist however northern hemisphere witnesses winter tilted away sun perihelion earth lies around million kilometres away sun
China asks universities to report on gene-editing researches,China's Ministry of Education has asked universities to inspect all research work on gene-editing since 2013 and submit a report by the year-end proving the work does not cross ethical boundaries. This comes after Chinese researcher He Jiankui in November had claimed creation of world's first gene-edited 'HIV-resistant' babies. China had also banned Jiankui from carrying out any scientific work.,science,China asks universities to report on gene-editing researches. China's Ministry of Education has asked universities to inspect all research work on gene-editing since 2013 and submit a report by the year-end proving the work does not cross ethical boundaries. This comes after Chinese researcher He Jiankui in November had claimed creation of world's first gene-edited 'HIV-resistant' babies. China had also banned Jiankui from carrying out any scientific work.,china asks universities report geneediting researches chinas ministry education asked universities inspect research work geneediting since submit report yearend proving work not cross ethical boundaries comes chinese researcher jiankui november claimed creation worlds first geneedited hivresistant babies china also banned jiankui carrying scientific work
Scientists model glacier formation process of planet Mercury,"US-based scientists have modelled the processes leading to glacier formation at the permanently shadowed, cratered poles of Mercury, the planet closest to the Sun. The model suggests the nearly 50 million-year-old glaciers were likely formed when ice deposited on impact by water-rich comets and remained stable in the planet. ""We expect deposits (ice) are limited supply"", the scientists said.",science,"Scientists model glacier formation process of planet Mercury. US-based scientists have modelled the processes leading to glacier formation at the permanently shadowed, cratered poles of Mercury, the planet closest to the Sun. The model suggests the nearly 50 million-year-old glaciers were likely formed when ice deposited on impact by water-rich comets and remained stable in the planet. ""We expect deposits (ice) are limited supply"", the scientists said.",scientists model glacier formation process planet mercury usbased scientists modelled processes leading glacier formation permanently shadowed cratered poles mercury planet closest sun model suggests nearly millionyearold glaciers likely formed ice deposited impact waterrich comets remained stable planet expect deposits ice limited supply scientists said
GM plant that removes cancer-causing pollutants made in US,A team of scientists at the University of Washington has genetically modified a common houseplant to remove cancer-causing pollutant compounds chloroform and benzene from the air around it. The plant releases protein 2E1 to transform the compounds into molecules which it uses to support its growth. The scientists are working to increase the plant's capabilities to remove other harmful pollutants. ,science,GM plant that removes cancer-causing pollutants made in US. A team of scientists at the University of Washington has genetically modified a common houseplant to remove cancer-causing pollutant compounds chloroform and benzene from the air around it. The plant releases protein 2E1 to transform the compounds into molecules which it uses to support its growth. The scientists are working to increase the plant's capabilities to remove other harmful pollutants. ,gm plant removes cancercausing pollutants made us team scientists university washington genetically modified common houseplant remove cancercausing pollutant compounds chloroform benzene air around plant releases protein e transform compounds molecules uses support growth scientists working increase plants capabilities remove harmful pollutants
Scientists developing new cancer treatment with immune cells,Scientists at Francis Crick Institute in London are developing a new method to treat cancer using immune cells. Scientists believe patients' immune systems can be enhanced to help fight off cancer tumours from within their bodies by transplanting immune cells from strangers. They intend to set up immune banks to store these cells which can then be delivered to clinics.,science,Scientists developing new cancer treatment with immune cells. Scientists at Francis Crick Institute in London are developing a new method to treat cancer using immune cells. Scientists believe patients' immune systems can be enhanced to help fight off cancer tumours from within their bodies by transplanting immune cells from strangers. They intend to set up immune banks to store these cells which can then be delivered to clinics.,scientists developing new cancer treatment immune cells scientists francis crick institute london developing new method treat cancer using immune cells scientists believe patients immune systems enhanced help fight cancer tumours within bodies transplanting immune cells strangers intend set immune banks store cells delivered clinics
China space probe to land on the dark side of the Moon,"A Chinese space probe, Chang’e-4, has entered the elliptical lunar orbit in preparation to land on the dark side of the Moon for the first time, Chinese state media reported. The probe, carried by a Long March-3B rocket, had been launched earlier this month. The probe, which includes a lander and a rover, is tasked with exploring the Moon’s surface.
",science,"China space probe to land on the dark side of the Moon. A Chinese space probe, Chang’e-4, has entered the elliptical lunar orbit in preparation to land on the dark side of the Moon for the first time, Chinese state media reported. The probe, carried by a Long March-3B rocket, had been launched earlier this month. The probe, which includes a lander and a rover, is tasked with exploring the Moon’s surface.
",china space probe land dark side moon chinese space probe change entered elliptical lunar orbit preparation land dark side moon first time chinese state media reported probe carried long marchb rocket launched earlier month probe includes lander rover tasked exploring moons surface
UK study finds pine needles could be converted into paint,"A study in Sheffield University, UK has found that pine needles from abandoned Christmas trees could be processed to make paint. The chemical structure of pine needles is broken down using heat and solvents to create bio-oil which contains chemicals including glucose and acetic acid. Glucose is used to produce food sweeteners while acetic acid is used to make paint.",science,"UK study finds pine needles could be converted into paint. A study in Sheffield University, UK has found that pine needles from abandoned Christmas trees could be processed to make paint. The chemical structure of pine needles is broken down using heat and solvents to create bio-oil which contains chemicals including glucose and acetic acid. Glucose is used to produce food sweeteners while acetic acid is used to make paint.",uk study finds pine needles could converted paint study sheffield university uk found pine needles abandoned christmas trees could processed make paint chemical structure pine needles broken using heat solvents create biooil contains chemicals including glucose acetic acid glucose used produce food sweeteners acetic acid used make paint
Warped disk around newborn star noticed for first time ever,"Using observations from ALMA radio observatory in Chile, researchers have observed a warped disk around an infant protostar for the first time ever. The observation implies misalignment of planet's orbits in many planetary systems may be caused by distortions in the planet-forming disk. Notably, the plane of planets in the Solar System is tilted around 7° from the Sun's equator.",science,"Warped disk around newborn star noticed for first time ever. Using observations from ALMA radio observatory in Chile, researchers have observed a warped disk around an infant protostar for the first time ever. The observation implies misalignment of planet's orbits in many planetary systems may be caused by distortions in the planet-forming disk. Notably, the plane of planets in the Solar System is tilted around 7° from the Sun's equator.",warped disk around newborn star noticed first time ever using observations alma radio observatory chile researchers observed warped disk around infant protostar first time ever observation implies misalignment planets orbits many planetary systems may caused distortions planetforming disk notably plane planets solar system tilted around suns equator
Team drills into Antarctic lake below 1km ice to look for life,"A team of scientists has drilled into Subglacial Lake Mercer in Antarctica, which lies over 1,000 metres beneath the Whillans Ice Plain, to look for signs of life. The team used a high-pressure, hot water drill to create a 1,084-metre-deep borehole in about three days' time. An instrument was then sent to capture footage of the borehole and the lake.",science,"Team drills into Antarctic lake below 1km ice to look for life. A team of scientists has drilled into Subglacial Lake Mercer in Antarctica, which lies over 1,000 metres beneath the Whillans Ice Plain, to look for signs of life. The team used a high-pressure, hot water drill to create a 1,084-metre-deep borehole in about three days' time. An instrument was then sent to capture footage of the borehole and the lake.",team drills antarctic lake km ice look life team scientists drilled subglacial lake mercer antarctica lies metres beneath whillans ice plain look signs life team used highpressure hot water drill create metredeep borehole three days time instrument sent capture footage borehole lake
"NASA's 1st woman exec, 'mother of Hubble' passes away at 93","The first-ever woman to hold an executive position at NASA, Nancy Grace Roman, passed away at the age of 93 on December 25. Roman was the first Chief of Astronomy in the Office of Space Science at NASA Headquarters and is referred to as the 'mother of Hubble' telescope. She had joined NASA in 1959 and had retired in 1979.",science,"NASA's 1st woman exec, 'mother of Hubble' passes away at 93. The first-ever woman to hold an executive position at NASA, Nancy Grace Roman, passed away at the age of 93 on December 25. Roman was the first Chief of Astronomy in the Office of Space Science at NASA Headquarters and is referred to as the 'mother of Hubble' telescope. She had joined NASA in 1959 and had retired in 1979.",nasas st woman exec mother hubble passes away firstever woman hold executive position nasa nancy grace roman passed away age december roman first chief astronomy office space science nasa headquarters referred mother hubble telescope joined nasa retired
"Kohli fastest to 19,000 international runs, breaks Sachin's record","India captain Virat Kohli has become the fastest batsman to reach 19,000 international runs, achieving the feat in his 399th innings during the fourth Test against Australia on Thursday. Kohli surpassed former India batsman Sachin Tendulkar, who had reached the feat in 432 innings. Kohli had become the fastest to reach 18,000 international runs (382 innings) in September last year.",sports,"Kohli fastest to 19,000 international runs, breaks Sachin's record. India captain Virat Kohli has become the fastest batsman to reach 19,000 international runs, achieving the feat in his 399th innings during the fourth Test against Australia on Thursday. Kohli surpassed former India batsman Sachin Tendulkar, who had reached the feat in 432 innings. Kohli had become the fastest to reach 18,000 international runs (382 innings) in September last year.",kohli fastest international runs breaks sachins record india captain virat kohli become fastest batsman reach international runs achieving feat th innings fourth test australia thursday kohli surpassed former india batsman sachin tendulkar reached feat innings kohli become fastest reach international runs innings september last year
Sachin Tendulkar's childhood coach Ramakant Achrekar dies aged 86,"Former India batsman Sachin Tendulkar's childhood coach Ramakant Achrekar passed away aged 86 owing to old-age related ailments in Mumbai on Wednesday. He was conferred with Dronacharya Award in 1990 and Padma Shri in 2010 for his services to cricket. Besides Tendulkar, he had also coached ex-India cricketers Vinod Kambli, Pravin Amre, Sameer Dighe and Balwinder Singh Sandhu.",sports,"Sachin Tendulkar's childhood coach Ramakant Achrekar dies aged 86. Former India batsman Sachin Tendulkar's childhood coach Ramakant Achrekar passed away aged 86 owing to old-age related ailments in Mumbai on Wednesday. He was conferred with Dronacharya Award in 1990 and Padma Shri in 2010 for his services to cricket. Besides Tendulkar, he had also coached ex-India cricketers Vinod Kambli, Pravin Amre, Sameer Dighe and Balwinder Singh Sandhu.",sachin tendulkars childhood coach ramakant achrekar dies aged former india batsman sachin tendulkars childhood coach ramakant achrekar passed away aged owing oldage related ailments mumbai wednesday conferred dronacharya award padma shri services cricket besides tendulkar also coached exindia cricketers vinod kambli pravin amre sameer dighe balwinder singh sandhu
Pujara 3rd Indian to slam 3 tons in a Test series in Australia,"Batsman Cheteshwar Pujara has become the third Indian batsman after Virat Kohli and Sunil Gavaskar to smash three hundreds in a Test series in Australia, achieving the feat during the fourth Test on Thursday. Kohli had become the first Indian to score four hundreds in a Test series in Australia in 2014-15, while Gavaskar hit three tons in 1977-78.",sports,"Pujara 3rd Indian to slam 3 tons in a Test series in Australia. Batsman Cheteshwar Pujara has become the third Indian batsman after Virat Kohli and Sunil Gavaskar to smash three hundreds in a Test series in Australia, achieving the feat during the fourth Test on Thursday. Kohli had become the first Indian to score four hundreds in a Test series in Australia in 2014-15, while Gavaskar hit three tons in 1977-78.",pujara rd indian slam tons test series australia batsman cheteshwar pujara become third indian batsman virat kohli sunil gavaskar smash three hundreds test series australia achieving feat fourth test thursday kohli become first indian score four hundreds test series australia gavaskar hit three tons
"Warne gave 150 runs, took only Shastri's wicket on Test debut","Former Australian leg-spinner Shane Warne was smashed for 150 runs by the Indian batsmen in his debut Test, which started on January 2, 1992, in Sydney. Ravi Shastri, who slammed 206 runs off 477 balls, was Warne's only dismissal in the match. Warne went on to take 708 wickets in Test cricket, the highest by any Australian bowler.",sports,"Warne gave 150 runs, took only Shastri's wicket on Test debut. Former Australian leg-spinner Shane Warne was smashed for 150 runs by the Indian batsmen in his debut Test, which started on January 2, 1992, in Sydney. Ravi Shastri, who slammed 206 runs off 477 balls, was Warne's only dismissal in the match. Warne went on to take 708 wickets in Test cricket, the highest by any Australian bowler.",warne gave runs took shastris wicket test debut former australian legspinner shane warne smashed runs indian batsmen debut test started january sydney ravi shastri slammed runs balls warnes dismissal match warne went take wickets test cricket highest australian bowler
First-ever hat-trick in a Cricket World Cup was taken by an Indian,"Former Indian pacer Chetan Sharma bowled out three New Zealand batsmen in three successive deliveries on October 31, 1987, in Nagpur, becoming the first bowler to take a hat-trick in World Cup. It was the first hat-trick taken by an Indian and the first all-bowled hat-trick in international cricket. Sharma, who turns 53 today, played 23 Tests and 65 ODIs.",sports,"First-ever hat-trick in a Cricket World Cup was taken by an Indian. Former Indian pacer Chetan Sharma bowled out three New Zealand batsmen in three successive deliveries on October 31, 1987, in Nagpur, becoming the first bowler to take a hat-trick in World Cup. It was the first hat-trick taken by an Indian and the first all-bowled hat-trick in international cricket. Sharma, who turns 53 today, played 23 Tests and 65 ODIs.",firstever hattrick cricket world cup taken indian former indian pacer chetan sharma bowled three new zealand batsmen three successive deliveries october nagpur becoming first bowler take hattrick world cup first hattrick taken indian first allbowled hattrick international cricket sharma turns today played tests odis
Gavaskar set to miss presenting Border-Gavaskar Trophy to Kohli,"Ex-India captain Sunil Gavaskar is reportedly set to miss handing over the Border-Gavaskar Trophy to India captain Virat Kohli after the fourth Australia-India Test in Sydney. Gavaskar, who is commentating on the series out of a studio in Mumbai, said that since Cricket Australia's ex-chief executive James Sutherland stepped down in October 2018, the Australian board has not contacted him.",sports,"Gavaskar set to miss presenting Border-Gavaskar Trophy to Kohli. Ex-India captain Sunil Gavaskar is reportedly set to miss handing over the Border-Gavaskar Trophy to India captain Virat Kohli after the fourth Australia-India Test in Sydney. Gavaskar, who is commentating on the series out of a studio in Mumbai, said that since Cricket Australia's ex-chief executive James Sutherland stepped down in October 2018, the Australian board has not contacted him.",gavaskar set miss presenting bordergavaskar trophy kohli exindia captain sunil gavaskar reportedly set miss handing bordergavaskar trophy india captain virat kohli fourth australiaindia test sydney gavaskar commentating series studio mumbai said since cricket australias exchief executive james sutherland stepped october australian board not contacted
Live up to 'GOAT' nickname in Sydney: Australia PM to Nathan Lyon,"Australia PM Scott Morrison, while addressing India and Australia cricket teams during New Year's Day reception, asked Australia spinner Nathan Lyon to live up to his 'GOAT' (Greatest of All Time) nickname during the Sydney Test. Adding that Sydney will be a turning wicket, Morrison said, ""Nathan, do your best mate... Ensure it turns to your favour.""",sports,"Live up to 'GOAT' nickname in Sydney: Australia PM to Nathan Lyon. Australia PM Scott Morrison, while addressing India and Australia cricket teams during New Year's Day reception, asked Australia spinner Nathan Lyon to live up to his 'GOAT' (Greatest of All Time) nickname during the Sydney Test. Adding that Sydney will be a turning wicket, Morrison said, ""Nathan, do your best mate... Ensure it turns to your favour.""",live goat nickname sydney australia pm nathan lyon australia pm scott morrison addressing india australia cricket teams new years day reception asked australia spinner nathan lyon live goat greatest time nickname sydney test adding sydney turning wicket morrison said nathan best mate ensure turns favour
I have got total cricket crush on Kohli: Australia Sports Minister,"Australia Sports Minister Bridget McKenzie, while introducing Virat Kohli during the New Year's Day celebrations at Australia PM  Scott Morrison's official residence, said, ""I have got a total cricket crush on this guy."" ""The passion that he brings on the pitch and on the field is just so exciting to watch...even though I hope you lose this week,"" she added.",sports,"I have got total cricket crush on Kohli: Australia Sports Minister. Australia Sports Minister Bridget McKenzie, while introducing Virat Kohli during the New Year's Day celebrations at Australia PM  Scott Morrison's official residence, said, ""I have got a total cricket crush on this guy."" ""The passion that he brings on the pitch and on the field is just so exciting to watch...even though I hope you lose this week,"" she added.",got total cricket crush kohli australia sports minister australia sports minister bridget mckenzie introducing virat kohli new years day celebrations australia pm scott morrisons official residence said got total cricket crush guy passion brings pitch field exciting watch even though hope lose week added
"India name 13-man squad for Sydney Test, Ishant Sharma out injured","Fast bowler Ishant Sharma misses out from the Team India's 13-man squad for the fourth Test against Australia, which will begin on Thursday. All three main spinners– Kuldeep Yadav, Ravindra Jadeja and Ravichandran Ashwin have been included in the squad. However, the BCCI said that a decision on Ashwin's availability will be taken on the morning of the Test.",sports,"India name 13-man squad for Sydney Test, Ishant Sharma out injured. Fast bowler Ishant Sharma misses out from the Team India's 13-man squad for the fourth Test against Australia, which will begin on Thursday. All three main spinners– Kuldeep Yadav, Ravindra Jadeja and Ravichandran Ashwin have been included in the squad. However, the BCCI said that a decision on Ashwin's availability will be taken on the morning of the Test.",india name man squad sydney test ishant sharma injured fast bowler ishant sharma misses team indias man squad fourth test australia begin thursday three main spinners kuldeep yadav ravindra jadeja ravichandran ashwin included squad however bcci said decision ashwins availability taken morning test
Wouldn't like Prime Minister's job: Australia fast bowler Cummins,"After fans jokingly declared Australia pacer Pat Cummins as the next Australia PM following his performance in the Melbourne Test, the pacer said, ""I don't think I would like that job."" ""[The Prime Minister's] job is a lot more stressful than what I have to do,"" the pacer added while attending the New Year's Day celebrations at Australia PM's residence.",sports,"Wouldn't like Prime Minister's job: Australia fast bowler Cummins. After fans jokingly declared Australia pacer Pat Cummins as the next Australia PM following his performance in the Melbourne Test, the pacer said, ""I don't think I would like that job."" ""[The Prime Minister's] job is a lot more stressful than what I have to do,"" the pacer added while attending the New Year's Day celebrations at Australia PM's residence.",would not like prime ministers job australia fast bowler cummins fans jokingly declared australia pacer pat cummins next australia pm following performance melbourne test pacer said not think would like job [ prime ministers ] job lot stressful pacer added attending new years day celebrations australia pms residence
Ah yes! You sledge right? Australia PM on being introduced to Pant,"Australian Prime Minister Scott Morrison, on being introduced to India wicketkeeper Rishabh Pant during New Year's Day celebrations at his residence, said, ""Ah yes! You sledge right?"" ""You are very welcome, we like competitive game,"" Morrison added. Notably, Pant was caught sledging Australia captain Tim Paine, Usman Khawaja and Pat Cummins, among others during the first three Tests.",sports,"Ah yes! You sledge right? Australia PM on being introduced to Pant. Australian Prime Minister Scott Morrison, on being introduced to India wicketkeeper Rishabh Pant during New Year's Day celebrations at his residence, said, ""Ah yes! You sledge right?"" ""You are very welcome, we like competitive game,"" Morrison added. Notably, Pant was caught sledging Australia captain Tim Paine, Usman Khawaja and Pat Cummins, among others during the first three Tests.",ah yes sledge right australia pm introduced pant australian prime minister scott morrison introduced india wicketkeeper rishabh pant new years day celebrations residence said ah yes sledge right welcome like competitive game morrison added notably pant caught sledging australia captain tim paine usman khawaja pat cummins among others first three tests
"Thought Bumrah wouldn't last for long, he proved me wrong: Kapil","Ex-India captain Kapil Dev has said that when he first saw India fast bowler Jasprit Bumrah, he had thought he would not last long in international cricket with his kind of action. ""Bumrah has proved me wrong. Hats off to him and I really compliment him for his superlative show in Australia. His mindset must be very strong,"" he added. ",sports,"Thought Bumrah wouldn't last for long, he proved me wrong: Kapil. Ex-India captain Kapil Dev has said that when he first saw India fast bowler Jasprit Bumrah, he had thought he would not last long in international cricket with his kind of action. ""Bumrah has proved me wrong. Hats off to him and I really compliment him for his superlative show in Australia. His mindset must be very strong,"" he added. ",thought bumrah would not last long proved wrong kapil exindia captain kapil dev said first saw india fast bowler jasprit bumrah thought would not last long international cricket kind action bumrah proved wrong hats really compliment superlative show australia mindset must strong added
Achrekar sir built the foundation that I stand on: Sachin Tendulkar,"Commenting on the death of his childhood coach Ramakant Achrekar, former India batsman Sachin Tendulkar said, ""His contribution to my life cannot be captured in words. He built the foundation that I stand on."" ""Cricket in heaven will be enriched with the presence of Achrekar sir...I learnt my ABCD of cricket under sir's guidance,"" Tendulkar added.",sports,"Achrekar sir built the foundation that I stand on: Sachin Tendulkar. Commenting on the death of his childhood coach Ramakant Achrekar, former India batsman Sachin Tendulkar said, ""His contribution to my life cannot be captured in words. He built the foundation that I stand on."" ""Cricket in heaven will be enriched with the presence of Achrekar sir...I learnt my ABCD of cricket under sir's guidance,"" Tendulkar added.",achrekar sir built foundation stand sachin tendulkar commenting death childhood coach ramakant achrekar former india batsman sachin tendulkar said contribution life cannot captured words built foundation stand cricket heaven enriched presence achrekar sir learnt abcd cricket sirs guidance tendulkar added
"If my ban is lifted, I'll give youngsters run for money: Sreesanth","Banned cricketer Sreesanth has said that if his ban is lifted and he gets to play for six months, he will give a lot of youngsters a run for their money. ""I totally deserve a chance to play club cricket, so that I at least get to prove my fitness levels and play for the Kerala cricket team,"" he added. ",sports,"If my ban is lifted, I'll give youngsters run for money: Sreesanth. Banned cricketer Sreesanth has said that if his ban is lifted and he gets to play for six months, he will give a lot of youngsters a run for their money. ""I totally deserve a chance to play club cricket, so that I at least get to prove my fitness levels and play for the Kerala cricket team,"" he added. ",ban lifted give youngsters run money sreesanth banned cricketer sreesanth said ban lifted gets play six months give lot youngsters run money totally deserve chance play club cricket least get prove fitness levels play kerala cricket team added
Oh what a night: Federer shares selfie with Serena after win,"Twenty-time Grand Slam champion Roger Federer took to Twitter to share a selfie with 23-time Grand Slam winner Serena Williams after defeating her in a mixed doubles match at Hopman Cup on Tuesday. ""Oh what a night,"" the 37-year-old captioned the picture. This was the first time ever the duo played a professional match against each other. ",sports,"Oh what a night: Federer shares selfie with Serena after win. Twenty-time Grand Slam champion Roger Federer took to Twitter to share a selfie with 23-time Grand Slam winner Serena Williams after defeating her in a mixed doubles match at Hopman Cup on Tuesday. ""Oh what a night,"" the 37-year-old captioned the picture. This was the first time ever the duo played a professional match against each other. ",oh night federer shares selfie serena win twentytime grand slam champion roger federer took twitter share selfie time grand slam winner serena williams defeating mixed doubles match hopman cup tuesday oh night yearold captioned picture first time ever duo played professional match
Achrekar sir gave a jewel to Indian cricket: Laxman pays tribute,"Ex-India batsman VVS Laxman took to Twitter to pay tribute to Sachin Tendulkar's childhood coach Ramakant Achrekar, who passed away aged 86 on Wednesday. ""My heartfelt condolences on the passing away of Ramakant Achrekar Sir, who was instrumental in giving a jewel to Indian cricket,"" he wrote. Further, BCCI tweeted, ""His contribution to Indian Cricket has been immense.""",sports,"Achrekar sir gave a jewel to Indian cricket: Laxman pays tribute. Ex-India batsman VVS Laxman took to Twitter to pay tribute to Sachin Tendulkar's childhood coach Ramakant Achrekar, who passed away aged 86 on Wednesday. ""My heartfelt condolences on the passing away of Ramakant Achrekar Sir, who was instrumental in giving a jewel to Indian cricket,"" he wrote. Further, BCCI tweeted, ""His contribution to Indian Cricket has been immense.""",achrekar sir gave jewel indian cricket laxman pays tribute exindia batsman vvs laxman took twitter pay tribute sachin tendulkars childhood coach ramakant achrekar passed away aged wednesday heartfelt condolences passing away ramakant achrekar sir instrumental giving jewel indian cricket wrote bcci tweeted contribution indian cricket immense
NBA player fined ₹17 lakh for throwing ball at fans in the stands,"NBA side Golden State Warriors' swingman Andre Iguodala has been fined $25,000 (₹17 lakh) for throwing the ball at the fans in the stands during a match against Portland Trail Blazers. The 34-year-old tossed the ball about 20 rows into the stands after the end of the first half. The officials ejected Iguodala for ""hostile act"" after the incident. ",sports,"NBA player fined ₹17 lakh for throwing ball at fans in the stands. NBA side Golden State Warriors' swingman Andre Iguodala has been fined $25,000 (₹17 lakh) for throwing the ball at the fans in the stands during a match against Portland Trail Blazers. The 34-year-old tossed the ball about 20 rows into the stands after the end of the first half. The officials ejected Iguodala for ""hostile act"" after the incident. ",nba player fined lakh throwing ball fans stands nba side golden state warriors swingman andre iguodala fined lakh throwing ball fans stands match portland trail blazers yearold tossed ball rows stands end first half officials ejected iguodala hostile act incident
"Kohli captain, no Australian in Cricket Australia's ODI XI of 2018","Cricket Australia recently named their ODI Best XI of 2018, which did not feature a single Australian player. Team India captain Virat Kohli was named skipper of the team, which also includes India cricketers Rohit Sharma, Kuldeep Yadav and Jasprit Bumrah. As many as seven Asian cricketers featured in the team.   ",sports,"Kohli captain, no Australian in Cricket Australia's ODI XI of 2018. Cricket Australia recently named their ODI Best XI of 2018, which did not feature a single Australian player. Team India captain Virat Kohli was named skipper of the team, which also includes India cricketers Rohit Sharma, Kuldeep Yadav and Jasprit Bumrah. As many as seven Asian cricketers featured in the team.   ",kohli captain no australian cricket australias odi xi cricket australia recently named odi best xi not feature single australian player team india captain virat kohli named skipper team also includes india cricketers rohit sharma kuldeep yadav jasprit bumrah many seven asian cricketers featured team
